doc_id,genre,speaker,family,n_nominal,n_variant,n_distributive,nominal_forms
2024-01-18_STRAT_CDDO_GenerativeAIFramework,STRAT,CDDO,None,2,0,1,public good; the public good
2024-02-06_REG_DSIT_ProInnovationAIRegulation,REG,DSIT,None,4,2,3,public good; the public good
2025-01-13_STRAT_DSIT_AIActionPlanGovResponse,STRAT,DSIT,None,0,1,1,
2026-01-29_STRAT_DSIT_AIActionPlanOneYearOn,STRAT,DSIT,None,0,1,0,
2025-01-12_PRGOV_PMO_BlueprintTurbochargeAI,PRGOV,PMO,None,1,0,5,public good
2025-01-21_WMS_DSIT_BlueprintMinisterialStatement,WMS,DSIT,None,3,0,2,ai for the public good; public good; the public good
2025-01-21_STRAT_GDS_StateOfDigitalGovReview,STRAT,DSIT_and_GDS,None,4,0,3,public good; the public good
2025-01-27_BLOG_GDS_SameNameNewAmbitions,BLOG,GDS,None,0,0,0,
CONTEXT_2025-01-13_STRAT_DSIT_AIOpportunitiesActionPlan,STRAT,External_adviser,None,0,0,1,
2025-02-10_STRAT_GDS_AIPlaybookUKGovernment,STRAT,GDS,None,4,9,1,public good
2025-02-10_BLOG_GDS_LaunchingAIPlaybook,BLOG,GDS,None,0,0,0,
2025-01-21_STRAT_GDS_BlueprintModernDigitalGov,STRAT,DSIT_and_GDS,None,9,0,3,ai for the public good; public good; the public good
2026-01-20_BLOG_GDS_OurRoadmapLaunch,BLOG,GDS,None,2,0,0,ai for public good; public good
2026-01-20_STRAT_GDS_RoadmapModernDigitalGov,STRAT,DSIT_and_GDS,None,3,0,0,ai for the public good; public good; the public good
2026-01-19_WMS_DSIT_RoadmapMinisterialStatement,WMS,DSIT_and_GDS,None,0,0,0,
2026-01-27_PRGOV_DSIT_TopBritishAIExpertise,PRGOV,DSIT,None,2,1,3,public good; the public good
2025-08-18_BLOG_GDS_AIExemplarsProgramme,BLOG,GDS,None,2,0,0,ai for public good; public good
2025-02-14_MOU_Anthropic_AIOpportunities,MOU,DSIT_and_Anthropic,Anthropic,0,0,0,
2025-02-14_PRCO_Anthropic_SignsMOUUKGov,PRCO,Anthropic,Anthropic,0,0,0,
2026-01-27_PRCO_Anthropic_GOVUKPartnership,PRCO,Anthropic,Anthropic,0,2,0,
2025-06-16_MOU_Cohere_AIOpportunities,MOU,DSIT_and_Cohere,Cohere,0,0,0,
2025-06-15_PRCO_Cohere_CanadaUKPartnerships,PRCO,Cohere,Cohere,0,0,0,
2025-07-21_MOU_OpenAI_AIOpportunities,MOU,DSIT_and_OpenAI,OpenAI,0,0,1,
2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,PRGOV,DSIT,OpenAI,0,0,3,
2025-07-21_PRCO_OpenAI_StrategicPartnership,PRCO,OpenAI,OpenAI,0,0,0,
2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,PRCO,OpenAI,OpenAI,0,0,0,
2025-09-16_PRCO_OpenAI_StargateUK,PRCO,OpenAI,OpenAI,0,0,0,
2025-12-11_MOU_DeepMind_AIOpportunitiesSecurity,MOU,DSIT_and_DeepMind,DeepMind,0,0,0,
2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,PRGOV,DSIT,DeepMind,4,0,3,ai for public good; public good; the public good
2025-12-11_PRCO_DeepMind_DeepeningAISIPartnership,PRCO,DeepMind,DeepMind,0,0,0,
2025-12-10_PRCO_DeepMind_StrengtheningPartnership,PRCO,DeepMind,DeepMind,0,1,0,
2026-06-08_MOU_ElevenLabs_AIOpportunities,MOU,DSIT_and_ElevenLabs,ElevenLabs,0,0,1,
2026-02-18_PRCO_ElevenLabs_UKAISIPartnership,PRCO,ElevenLabs,ElevenLabs,0,0,0,
2026-06-08_PRCO_ElevenLabs_UKMOUExpansion,PRCO,ElevenLabs,ElevenLabs,0,0,0,
2025-02-14_PRGOV_DSIT_TacklingAISecurityRisks,PRGOV,DSIT,None,0,0,0,
2026-01-29_WMS_DSIT_AIActionPlanOneYearOnMinisterialStatement,WMS,DSIT,None,0,1,0,
2026-06-08_MOU_Cisco_AIOpportunities,MOU,DSIT_and_Cisco,Cisco,0,0,0,
2026-06-08_PRCO_Cisco_JoinsForcesUKGov,PRCO,Cisco,Cisco,0,0,0,
2026-06-08_MOU_Synthesia_AISkillsOpportunities,MOU,DSIT_and_Synthesia,Synthesia,0,0,0,
